Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.19,      0.18
Start 2D BC Array Sizes Domain_001                ,      0.20,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.21,      0.01
Start Estry Setup s0                              ,      0.21,      0.00
End Estry Setup s0                                ,      0.21,      0.00
Start TUFLOW Setup s2                             ,      0.21,      0.00
End TUFLOW Setup s2                               ,      0.35,      0.14
Reading Geometry File Domain_001                  ,      0.38,      0.03
Start Read Grid Read GRID Zpts                    ,      0.38,      0.00
End Read Grid Read GRID Zpts                      ,      0.39,      0.01
Start Read Read GIS Code                          ,      0.39,      0.00
End Read Read GIS Code                            ,      0.40,      0.01
Finished Reading Geometry File Domain_001         ,      0.40,      0.00
Start Read input file (stage 2) Domain_001        ,      0.40,      0.00
End Read input file (stage 2) Domain_001          ,      0.43,      0.03
Identifying cells within user defined output zones,      0.43,      0.00
Finished Identifying cells within user defined out,      0.43,      0.00
Setting instability water levels Domain_001       ,      0.43,      0.00
Finished Setting instability water levels Domain_0,      0.43,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.43,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.43,      0.00
Start Reading Input File (Stage 3)                ,      0.43,      0.00
End Reading Input File (Stage 3)                  ,      0.43,      0.00
Reading Boundary File Domain_001                  ,      0.43,      0.00
Finished Reading Boundary File Domain_001         ,      0.51,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      0.52,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.53,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.53,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.55,      0.02
Start Writing _grd_check                          ,      0.56,      0.01
End Writing _grd_check                            ,      1.48,      0.92
Start Writing _zpt_check                          ,      1.48,      0.00
End Writing _zpt_check                            ,      2.43,      0.94
Start Writing _uvpt_check                         ,      2.43,      0.00
End Writing _uvpt_check                           ,      3.16,      0.73
Start Writing check DEMs                          ,      5.33,      2.17
Start Calculating grid interpolation factors      ,      5.33,      0.00
End Calculating grid interpolation factors        ,      5.40,      0.07
End Writing check DEMs                            ,      5.52,      0.12
Start Calculating grid interpolation factors      ,      5.52,      0.00
End Calculating grid interpolation factors        ,      5.58,      0.06
Starting Simulation                               ,      5.60,      0.01
Summary File Close                                ,      5.61,      0.02
