"VanillaC4_020","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_020.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\results\020\VanillaC4_020_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          3.5409,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.5493,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -83.1364,         -0.0001
,        0.016667,          2.8477,          2.4810,          3.0575,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          2.7155,        -71.8002,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,        -86.7149,          0.0006
,        0.025000,          2.5894,          2.3002,          2.7188,          2.7477,          2.7844,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          2.5381,        -79.9294,        -58.9186,          0.0000,          0.0000,         -0.0000,          0.0009,        -87.4193,         -0.0014
,        0.033333,          2.4770,          2.2230,          2.5549,          2.5822,          2.6595,          2.0627,          1.5479,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          2.4400,        -83.6523,        -72.1318,        -46.6403,          0.0000,          0.0003,          0.0012,        -88.2050,         -0.0006
,        0.041667,          2.4096,          2.1681,          2.4684,          2.4863,          2.5537,          2.1279,          1.9595,          1.5339,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          0.0002,          0.0001,          2.3785,        -85.7115,        -78.4682,        -64.0111,        -44.8806,         -0.0002,          0.0002,        -88.7667,         -0.0021
,        0.050000,          2.3640,          2.1319,          2.4122,          2.4230,          2.4812,          2.1148,          2.0670,          1.8523,          1.5326,          1.1484,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          2.3363,        -86.9754,        -82.0390,        -72.8406,        -60.6668,        -34.3569,         -0.0013,        -89.1200,          0.0005
,        0.058333,          2.3321,          2.1078,          2.3737,          2.3791,          2.4299,          2.0964,          2.0801,          1.9757,          1.7743,          1.5524,          1.1562,          0.9734,          0.7945,          0.0001,          0.0001,          2.3065,        -87.8081,        -84.2721,        -77.9692,        -69.8372,        -51.6059,        -39.5615,        -89.3659,          0.0025
,        0.066667,          2.3095,          2.0894,          2.3456,          2.3482,          2.3934,          2.0747,          2.0730,          2.0158,          1.8810,          1.7307,          1.3499,          1.3110,          1.2477,          0.9706,          0.6026,          2.2852,        -88.3795,        -85.7851,        -81.2078,        -75.5022,        -62.3332,        -53.2058,        -89.5260,        -47.5288
,        0.075000,          2.2930,          2.0760,          2.3249,          2.3254,          2.3675,          2.0597,          2.0654,          2.0291,          1.9410,          1.8317,          1.4704,          1.4893,          1.5070,          1.2637,          1.4766,          2.2699,        -88.7902,        -86.8431,        -83.4482,        -79.2404,        -69.6605,        -63.4529,        -89.6499,        -66.5237
,        0.083333,          2.2805,          2.0658,          2.3095,          2.3082,          2.3480,          2.0474,          2.0578,          2.0348,          1.9722,          1.8902,          1.5632,          1.6050,          1.7115,          1.7880,          1.8405,          2.2583,        -89.0794,        -87.6068,        -85.0320,        -81.8821,        -74.7873,        -71.1634,        -89.7318,        -82.1218
,        0.091667,          2.2711,          2.0579,          2.2976,          2.2950,          2.3329,          2.0384,          2.0510,          2.0392,          1.9925,          1.9299,          1.6457,          1.8009,          2.0044,          2.0320,          1.9529,          2.2495,        -89.2939,        -88.1642,        -86.1980,        -83.8082,        -78.4871,        -80.5560,        -89.7964,        -83.8451
,        0.100000,          2.2638,          2.0519,          2.2882,          2.2848,          2.3217,          2.0305,          2.0456,          2.0419,          2.0066,          1.9619,          1.7944,          1.9721,          2.1440,          2.0912,          2.0013,          2.2428,        -89.4562,        -88.5814,        -87.0644,        -85.2401,        -81.4073,        -84.1078,        -89.8430,        -84.5095
,        0.108333,          2.2582,          2.0472,          2.2811,          2.2768,          2.3128,          2.0247,          2.0426,          2.0435,          2.0197,          2.0213,          1.8826,          2.0267,          2.1837,          2.1183,          2.0229,          2.2376,        -89.5774,        -88.8931,        -87.7235,        -86.3312,        -84.3136,        -85.1506,        -89.8763,        -85.0300
,        0.116667,          2.2538,          2.0433,          2.2756,          2.2707,          2.3057,          2.0204,          2.0400,          2.0446,          2.0466,          2.0736,          1.9101,          2.0486,          2.2053,          2.1346,          2.0386,          2.2335,        -89.6676,        -89.1367,        -88.2279,        -87.1610,        -86.1490,        -85.9296,        -89.9041,        -85.6062
,        0.125000,          2.2503,          2.0404,          2.2713,          2.2659,          2.3005,          2.0172,          2.0377,          2.0509,          2.0732,          2.0973,          1.9231,          2.0604,          2.2182,          2.1468,          2.0526,          2.2303,        -89.7417,        -89.3238,        -88.6146,        -87.7904,        -87.1014,        -86.5907,        -89.9249,        -86.2180
,        0.133333,          2.2477,          2.0381,          2.2678,          2.2622,          2.2966,          2.0148,          2.0371,          2.0617,          2.0865,          2.1068,          1.9303,          2.0684,          2.2268,          2.1572,          2.0654,          2.2280,        -89.7971,        -89.4709,        -88.9196,        -88.3334,        -87.7052,        -87.1669,        -89.9422,        -86.8191
,        0.141667,          2.2455,          2.0363,          2.2652,          2.2593,          2.2935,          2.0131,          2.0394,          2.0688,          2.0921,          2.1122,          1.9352,          2.0741,          2.2335,          2.1658,          2.0766,          2.2260,        -89.8405,        -89.5855,        -89.1587,        -88.7869,        -88.1758,        -87.6670,        -89.9548,        -87.3687
,        0.150000,          2.2438,          2.0349,          2.2631,          2.2571,          2.2911,          2.0123,          2.0422,          2.0720,          2.0951,          2.1153,          1.9389,          2.0787,          2.2384,          2.1734,          2.0863,          2.2244,        -89.8739,        -89.6744,        -89.3558,        -89.1044,        -88.5450,        -88.1064,        -89.9639,        -87.8472
,        0.158333,          2.2426,          2.0337,          2.2614,          2.2554,          2.2897,          2.0126,          2.0437,          2.0734,          2.0968,          2.1173,          1.9419,          2.0823,          2.2442,          2.1795,          2.0946,          2.2232,        -89.9008,        -89.7444,        -89.5198,        -89.3199,        -88.8395,        -88.4669,        -89.9719,        -88.2546
,        0.166667,          2.2414,          2.0329,          2.2602,          2.2541,          2.2890,          2.0130,          2.0442,          2.0741,          2.0977,          2.1186,          1.9443,          2.0855,          2.2472,          2.1866,          2.1012,          2.2223,        -89.9225,        -89.8015,        -89.6414,        -89.4763,        -89.0771,        -88.7709,        -89.9774,        -88.5993
,        0.175000,          2.2407,          2.0322,          2.2593,          2.2534,          2.2886,          2.0131,          2.0443,          2.0744,          2.0983,          2.1195,          1.9463,          2.0881,          2.2517,          2.1884,          2.1145,          2.2216,        -89.9393,        -89.8497,        -89.7282,        -89.5936,        -89.2672,        -89.0435,        -89.9832,        -88.8594
,        0.183333,          2.2400,          2.0317,          2.2586,          2.2530,          2.2883,          2.0130,          2.0444,          2.0745,          2.0987,          2.1202,          1.9480,          2.0895,          2.2523,          2.1923,          2.1115,          2.2211,        -89.9521,        -89.8874,        -89.7910,        -89.6832,        -89.4192,        -89.2170,        -89.9853,        -89.1068
,        0.191667,          2.2395,          2.0313,          2.2582,          2.2527,          2.2879,          2.0128,          2.0443,          2.0745,          2.0989,          2.1208,          1.9494,          2.0909,          2.2539,          2.1951,          2.1149,          2.2206,        -89.9634,        -89.9150,        -89.8399,        -89.7528,        -89.5414,        -89.3757,        -89.9886,        -89.2758
,        0.200000,          2.2392,          2.0311,          2.2579,          2.2523,          2.2876,          2.0127,          2.0441,          2.0745,          2.0991,          2.1213,          1.9501,          2.0928,          2.2553,          2.1968,          2.1178,          2.2202,        -89.9730,        -89.9355,        -89.8757,        -89.8061,        -89.6392,        -89.5049,        -89.9906,        -89.4278
,        0.208333,          2.2390,          2.0309,          2.2577,          2.2521,          2.2873,          2.0125,          2.0440,          2.0745,          2.0993,          2.1215,          1.9508,          2.0936,          2.2563,          2.1987,          2.1202,          2.2200,        -89.9800,        -89.9507,        -89.9034,        -89.8484,        -89.7119,        -89.6070,        -89.9937,        -89.5472
,        0.216667,          2.2388,          2.0308,          2.2574,          2.2519,          2.2871,          2.0124,          2.0439,          2.0744,          2.0993,          2.1217,          1.9513,          2.0943,          2.2574,          2.2001,          2.1222,          2.2198,        -89.9846,        -89.9622,        -89.9250,        -89.8816,        -89.7739,        -89.6883,        -89.9951,        -89.6430
,        0.225000,          2.2387,          2.0306,          2.2573,          2.2517,          2.2869,          2.0123,          2.0438,          2.0744,          2.0994,          2.1219,          1.9518,          2.0950,          2.2580,          2.2012,          2.1236,          2.2197,        -89.9885,        -89.9708,        -89.9424,        -89.9075,        -89.8218,        -89.7539,        -89.9962,        -89.7180
,        0.233333,          2.2385,          2.0306,          2.2571,          2.2515,          2.2867,          2.0121,          2.0438,          2.0744,          2.0994,          2.1220,          1.9522,          2.0955,          2.2587,          2.2021,          2.1247,          2.2197,        -89.9906,        -89.9770,        -89.9544,        -89.9273,        -89.8593,        -89.8057,        -89.9972,        -89.7772
,        0.241667,          2.2384,          2.0305,          2.2570,          2.2514,          2.2866,          2.0121,          2.0438,          2.0743,          2.0994,          2.1221,          1.9525,          2.0958,          2.2590,          2.2028,          2.1257,          2.2195,        -89.9930,        -89.9823,        -89.9642,        -89.9430,        -89.8892,        -89.8493,        -89.9983,        -89.8253
,        0.250000,          2.2384,          2.0304,          2.2569,          2.2513,          2.2865,          2.0121,          2.0437,          2.0743,          2.0994,          2.1222,          1.9527,          2.0961,          2.2594,          2.2034,          2.1265,          2.2194,        -89.9941,        -89.9857,        -89.9722,        -89.9550,        -89.9132,        -89.8800,        -89.9983,        -89.8622
,        0.258333,          2.2383,          2.0304,          2.2569,          2.2512,          2.2864,          2.0120,          2.0436,          2.0743,          2.0995,          2.1222,          1.9529,          2.0964,          2.2597,          2.2037,          2.1270,          2.2194,        -89.9960,        -89.9892,        -89.9774,        -89.9650,        -89.9315,        -89.9045,        -89.9988,        -89.8911
,        0.266667,          2.2382,          2.0303,          2.2569,          2.2512,          2.2864,          2.0119,          2.0436,          2.0742,          2.0995,          2.1223,          1.9530,          2.0966,          2.2599,          2.2041,          2.1275,          2.2193,        -89.9967,        -89.9912,        -89.9829,        -89.9719,        -89.9457,        -89.9273,        -90.0000,        -89.9133
,        0.275000,          2.2382,          2.0303,          2.2568,          2.2512,          2.2863,          2.0119,          2.0435,          2.0742,          2.0995,          2.1223,          1.9531,          2.0968,          2.2602,          2.2044,          2.1279,          2.2193,        -89.9975,        -89.9936,        -89.9866,        -89.9781,        -89.9572,        -89.9426,        -89.9995,        -89.9319
,        0.283333,          2.2382,          2.0303,          2.2567,          2.2511,          2.2863,          2.0119,          2.0435,          2.0742,          2.0995,          2.1223,          1.9533,          2.0969,          2.2602,          2.2046,          2.1282,          2.2192,        -89.9983,        -89.9945,        -89.9892,        -89.9825,        -89.9661,        -89.9555,        -90.0002,        -89.9474
,        0.291667,          2.2382,          2.0303,          2.2567,          2.2511,          2.2862,          2.0119,          2.0435,          2.0742,          2.0995,          2.1224,          1.9533,          2.0970,          2.2604,          2.2047,          2.1283,          2.2192,        -89.9984,        -89.9958,        -89.9916,        -89.9860,        -89.9735,        -89.9633,        -89.9992,        -89.9579
,        0.300000,          2.2382,          2.0303,          2.2567,          2.2511,          2.2862,          2.0119,          2.0435,          2.0742,          2.0995,          2.1224,          1.9533,          2.0970,          2.2605,          2.2049,          2.1286,          2.2193,        -89.9988,        -89.9968,        -89.9933,        -89.9893,        -89.9797,        -89.9700,        -89.9997,        -89.9667
,        0.308333,          2.2382,          2.0302,          2.2567,          2.2510,          2.2862,          2.0118,          2.0435,          2.0742,          2.0995,          2.1224,          1.9534,          2.0971,          2.2605,          2.2050,          2.1287,          2.2192,        -89.9991,        -89.9975,        -89.9950,        -89.9921,        -89.9835,        -89.9785,        -89.9998,        -89.9737
,        0.316667,          2.2381,          2.0302,          2.2567,          2.2510,          2.2862,          2.0118,          2.0435,          2.0742,          2.0995,          2.1224,          1.9535,          2.0971,          2.2606,          2.2050,          2.1288,          2.2192,        -89.9994,        -89.9979,        -89.9955,        -89.9932,        -89.9873,        -89.9809,        -89.9993,        -89.9802
,        0.325000,          2.2381,          2.0302,          2.2567,          2.2510,          2.2861,          2.0118,          2.0434,          2.0742,          2.0995,          2.1224,          1.9535,          2.0971,          2.2606,          2.2051,          2.1289,          2.2192,        -89.9995,        -89.9986,        -89.9972,        -89.9949,        -89.9900,        -89.9856,        -89.9999,        -89.9845
,        0.333333,          2.2381,          2.0302,          2.2566,          2.2510,          2.2861,          2.0118,          2.0435,          2.0742,          2.0995,          2.1224,          1.9535,          2.0971,          2.2605,          2.2052,          2.1289,          2.2192,        -89.9997,        -89.9985,        -89.9976,        -89.9960,        -89.9919,        -89.9897,        -89.9993,        -89.9875
,        0.341667,          2.2381,          2.0302,          2.2567,          2.2510,          2.2861,          2.0118,          2.0434,          2.0742,          2.0995,          2.1224,          1.9535,          2.0971,          2.2606,          2.2052,          2.1290,          2.2192,        -89.9998,        -89.9992,        -89.9981,        -89.9969,        -89.9936,        -89.9921,        -89.9996,        -89.9908
