Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.00,      0.00
Found 2D domains                                  ,      0.18,      0.17
Start 2D BC Array Sizes Domain_001                ,      0.19,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.20,      0.01
Start Estry Setup s0                              ,      0.20,      0.00
End Estry Setup s0                                ,      0.20,      0.00
Start TUFLOW Setup s2                             ,      0.20,      0.00
End TUFLOW Setup s2                               ,      0.41,      0.21
Reading Geometry File Domain_001                  ,      0.44,      0.02
Start Read Grid Read GRID Zpts                    ,      0.44,      0.00
End Read Grid Read GRID Zpts                      ,      0.45,      0.01
Start Read Read GIS Code                          ,      0.45,      0.00
End Read Read GIS Code                            ,      0.45,      0.01
Finished Reading Geometry File Domain_001         ,      0.46,      0.00
Start Read input file (stage 2) Domain_001        ,      0.46,      0.00
End Read input file (stage 2) Domain_001          ,      0.49,      0.04
Identifying cells within user defined output zones,      0.49,      0.00
Finished Identifying cells within user defined out,      0.50,      0.00
Setting instability water levels Domain_001       ,      0.50,      0.00
Finished Setting instability water levels Domain_0,      0.50,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.50,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.50,      0.00
Start Reading Input File (Stage 3)                ,      0.50,      0.00
End Reading Input File (Stage 3)                  ,      0.50,      0.00
Reading Boundary File Domain_001                  ,      0.51,      0.00
Finished Reading Boundary File Domain_001         ,      0.61,      0.10
Initialising 2D Data (Stage 1) Domain_001         ,      0.61,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.62,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.62,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.64,      0.02
Start Writing _grd_check                          ,      0.65,      0.01
End Writing _grd_check                            ,      1.42,      0.77
Start Writing _zpt_check                          ,      1.42,      0.00
End Writing _zpt_check                            ,      2.34,      0.92
Start Writing _uvpt_check                         ,      2.34,      0.00
End Writing _uvpt_check                           ,      3.08,      0.74
Start Writing check DEMs                          ,      5.15,      2.07
Start Calculating grid interpolation factors      ,      5.15,      0.00
End Calculating grid interpolation factors        ,      5.22,      0.07
End Writing check DEMs                            ,      5.27,      0.05
Start Calculating grid interpolation factors      ,      5.27,      0.00
End Calculating grid interpolation factors        ,      5.34,      0.07
Starting Simulation                               ,      5.37,      0.03
Summary File Close                                ,      5.37,      0.00
